Feature ID	Taxon
5c074345a0b092379297a840b58dc891	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
23ed1b9146d0279ee1a9a8dd48bee4c7	d__Eukaryota; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Didymellaceae
71eac84bee9340b573eb05e019567cf7	d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanosphaera
b2cd88067732e647df7a89f7c0dfbb3a	d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter
aad79a31425766ff28ab36fc1d338ef8	d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter
1aaf3fcacb6907c432d78dc0c5fa7857	d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter
8db92c647ffb339415602b20cfd23236	d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter
3aceadd84521f994f71895af808e40d3	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia
70b87c6728f50120dedec237963dbf68	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Dorea
2b49f669e8daacbdac2426f8d4c27fce	Unassigned
8887a4a05125e8528a037cf4f7ca44e5	Unassigned
dcd78f061d22360d18b5ac62ba5f32f3	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella
71cfc5f92f75ec1d76c6cef9de3ac198	d__Bacteria; p__Firmicutes; c__Clostridia
bb7c7612ca5e713ef4f3a2b941f1b09f	d__Bacteria; p__Firmicutes; c__Clostridia
cd2f69c5cfeb213e72d884af42b07788	d__Bacteria; p__Firmicutes; c__Clostridia
bb7bdeeadeec6188dd9b77a4e88d8342	d__Bacteria; p__Firmicutes; c__Clostridia
198890fe6a41fed0486a479aef3f91cc	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelatoclostridiaceae; g__Erysipelatoclostridium
01fa8636b29eabacfa92f629cc9eab3e	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelatoclostridiaceae; g__Erysipelatoclostridium; s__bacterium_ic1391
9ed5a5049be3780a4442ac8263819382	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_vulgatus
4b2dc0075f8f2e5f7633c7154867ff71	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_dorei
fe2ae07f49ac57c4a1a5f41e54b1a098	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Massiliprevotella_massiliensis
69739b93595c7c1e5e309b0da7c5e6d3	d__Eukaryota
6f0facc99fc1b39ceb84e71771e4cca9	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__Alistipes_inops
867c2890c1af1e0f5b3abbd0fe2cc327	Unassigned
e4b2d8a96c5386cfeab595288affdb98	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus
e2f7634f6aecbcd5124e896dbade405e	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__uncultured; s__uncultured_bacterium
b2c6782a270bc4a82c4704e82280bc85	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__uncultured; s__uncultured_bacterium
be91f0634bd19aa556f02cf1e186230c	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Succinivibrionaceae; g__Succinivibrio; s__uncultured_bacterium
26c67d533742f50e5c56586cfe828226	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
45cc4eee06381c85195f636383e88e37	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
72ba2341032511e698aaf6dee856e9c0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
c2b08c027f98b2c6051ac051c7e1ecfe	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Succinivibrionaceae; g__Succinivibrio
7c7c2779f2ac326c8faab40b34997805	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
f261e56b39788c154a50084883f699f7	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
0d068cde5abfa6e4772d53bd4376f37d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
2911fc172af0aae43051a9fe68f72f5e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae
0f95a6a74cb372782353842c40d48484	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
f2454dd0eb2dccc212c8c6281111d9eb	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
628be3268cfee250728ad0703a83fadf	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
0d78add3b2fb50c7efe03d2dd4672a41	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
fe31f0b6e5a0388c4468f44adc1a0889	d__Bacteria; p__Firmicutes; c__Clostridia
6929f755d30aad0990acb585b51cb8ee	d__Bacteria
1a1bf89cae8b38a019cd86b1f88d0039	d__Bacteria
cfc360d9d389964bee60aaaaf620920d	d__Bacteria
4e966b56789ffab90cb2d7531ae17165	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
e3e6c419be00fb9340cb10eced926326	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
309815a68abc2d5968e829bc075ca6a3	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Succinivibrionaceae; g__Succinivibrio; s__uncultured_bacterium
0edfeeaf2642a857c5e711a97b36b03e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
da1b754ea4f10c647b5d52631cf30287	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae
6064fa3f1ec5b99b80ea1afb266b382b	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
a0a520c5c50aa21e3b13a67d918069c1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
1f860dcbcf904f1e583b196529d029ac	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
7cdbfb1b1e0288916f1febc8f581558f	d__Bacteria
c9a2e6ae0143ef1063778431925ca4a7	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Agathobacter
33bc4932a00679a4a29706957a0998dc	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae
d033cfccac6dfc7d395e47ad6ce2b1fa	d__Bacteria; p__Firmicutes
3730aa465c39762742708bab70499269	d__Bacteria; p__Firmicutes; c__Clostridia
3883f962e4fc80348865bb79608b7e7c	d__Bacteria
0fbf1ce8afd73328e186fea36ba20349	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
f148d69a10a5524a44c09f9912dfa1f1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Eubacterium]_ventriosum_group
1616a6b62a8680632c5455d8e12f3377	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Eubacterium]_ventriosum_group
d2830c77e44852c06228faa0ba24c3e6	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
14d13a9441941692f5c1191b8b30322c	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
c49b89e8f6110a06088c2507fd391771	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
a7b3e564cb0772bf49f3344dff9b6444	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Eubacterium]_ventriosum_group
5999d79116cafd5e5ea2c8c449720abb	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Eubacterium]_ventriosum_group
fd40cce1e14720a20707339aa8d7af8b	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Eubacterium]_ventriosum_group
